Image,PSNR,SSIM,RMSE,SAM
218,37.245220676505745,0.97437406,0.013732164166867733,0.0344071164727211
219,38.24745215201418,0.97016054,0.01223566010594368,0.029240181669592857
220,38.04808644092179,0.97534007,0.012519750744104385,0.033428799360990524
221,37.64336219595059,0.9737918,0.013116921298205853,0.027314573526382446
222,38.893968195994056,0.9757578,0.011357992887496948,0.02765560895204544
223,39.35596773382856,0.9740606,0.010769650340080261,0.02483053132891655
224,24.083818541634237,0.7970976,0.062489788979291916,0.1396772861480713
225,17.843393947846366,0.66071767,0.12818296253681183,0.23932945728302002
226,38.43888221761343,0.9661929,0.011968945153057575,0.02480187453329563
227,36.96767985129811,0.9670951,0.014178032986819744,0.03204478323459625
228,36.60243710635583,0.96730953,0.014786934480071068,0.033793069422245026
229,37.65756929016593,0.9737746,0.013095483183860779,0.03181106597185135
